INCOME72,year,id,wrkstat,occ,prestige,industry,OCC10,occindv,PRESTG10,PRESTG105PLUS,marital,agewed,divorce,spwrksta,spocc,sppres,PAIND16,sibs,childs,age,educ,paeduc,maeduc,speduc,degree,padeg,madeg,spdeg,sex,race,RES16,REG16,MOBILE16,INCOM16,hompop,babies,preteen,teens,adults,earnrs,size,dotdata,dotpeop,dotthng,dotged,dotsvp,dotpres,padotdat,padotpeo,padotthn,padotged,padotsvp,padotpre,libsoc,colcom,gunlaw,trust
$6000 TO,1972,70,UNEMPL,284,29,649,Retail s,Verbatim,31,18,married,23,no,WORKING,205,50,118,2,0,25,16,12,10,16,bachelor,HIGH SCH,LT HIGH,bachelor,male,white,"COUNTRY,",E. NOR.,"SAME ST,",ABOVE AV,2,0,0,0,2,2,41,3.11,5.33,7.79,3.74,4.67,39.7,1.97,5.59,7.18,4.37,6.61,48.3,NOT REMO,NOT FIRE,favor,CAN TRUS
$15000 T,1972,71,WORKING,715,32,219,Driver/s,Verbatim,35,29,married,18,yes,KEEPING,395,36,17,7,1,45,7,3,11,13,LT HIGH,LT HIGH,LT HIGH,HIGH SCH,male,white,farm,E. SOU.,DIFFEREN,FAR BELO,3,0,1,0,2,1,41,6.87,7.95,3.13,2.94,3.33,29.1,1.68,7.97,1.51,3.84,6.62,30.9,remove,fired,favor,Can't be
$8000 TO,1972,72,KEEPING,341,45,707,Office m,Verbatim,29,20,married,22,no,WORKING,492,35,69,7,2,30,12,12,10,12,HIGH SCH,HIGH SCH,LT HIGH,HIGH SCH,female,white,farm,mountain,DIFFEREN,average,4,2,0,0,2,1,41,3.39,7.97,7.61,3.4,4.34,40.8,3,7.81,1.25,3.91,7.28,43.4,NOT REMO,NOT FIRE,favor,Can't be
$2000 TO,1972,73,retired,785,17,398,Uncodeab,,,,married,25,no,KEEPING,915,20,17,3,2,68,8,3,3,7,LT HIGH,LT HIGH,LT HIGH,LT HIGH,male,white,farm,E. NOR.,"SAME ST,",average,2,0,0,0,2,0,41,6.86,7.96,6.08,1.98,2.56,17.8,1.68,7.97,1.51,3.84,6.62,30.9,NOT REMO,fired,favor,CAN TRUS
$8000 TO,1972,74,KEEPING,915,20,669,Waiters,Verbatim,31,16,married,19,yes,WORKING,461,48,937,2,1,63,11,10,,11,LT HIGH,LT HIGH,,LT HIGH,female,white,TOWN LT,E. NOR.,SAME CIT,average,2,0,0,0,2,1,41,6.95,6.99,7.93,2.88,2.93,23.5,2.37,5.86,7.99,3.16,4.51,37.3,remove,fired,favor,Can't be
$15000 T,1972,75,WORKING,753,17,157,Mainte,Verbatim,30,20,NEVER MA,,,,,,207,3,0,19,12,,,,HIGH SCH,,,,male,white,CITY GT,E. NOR.,SAME CIT,average,4,0,0,0,4,2,3367,6.58,7.86,6.72,2.17,2.94,23,6.43,8,4.36,2.28,3.51,24.2,,NOT FIRE,favor,Can't be
$12500 T,1972,76,WORKING,112,78,858,Postseco,,74,94,NEVER MA,,,,,,567,4,0,23,16,9,12,,bachelor,LT HIGH,HIGH SCH,,male,white,CITY GT,E. NOR.,SAME CIT,average,5,0,1,2,2,4,3367,2,2,8,5.95,7.95,71,6.87,7.95,3.13,2.94,3.33,29.1,NOT REMO,NOT FIRE,favor,Can't be
$15000 T,1972,77,KEEPING,,,,,No verba,,,married,23,no,WORKING,964,48,67,2,1,46,10,12,5,12,LT HIGH,LT HIGH,LT HIGH,HIGH SCH,female,white,CITY GT,E. NOR.,SAME CIT,average,3,0,0,0,3,2,3367,,,,,,,3.48,7.89,1.43,3.08,7.67,35.5,remove,fired,favor,Can't be
$8000 TO,1972,78,KEEPING,915,20,669,Waiters,Verbatim,31,16,widowed,24,yes,,,,557,6,1,55,8,4,4,,LT HIGH,LT HIGH,LT HIGH,,female,white,CITY GT,E. NOR.,SAME CIT,average,3,0,1,0,2,0,3367,6.95,6.99,7.93,2.88,2.93,23.5,1.97,5.59,7.18,4.37,6.61,48.3,NOT REMO,fired,favor,Can't be
$25000 T,1972,79,WORKING,495,35,177,Uncodeab,,,,NEVER MA,,,,,,407,3,1,22,14,16,14,,HIGH SCH,bachelor,HIGH SCH,,male,white,CITY GT,E. NOR.,SAME CIT,average,6,0,1,1,4,4,3367,2.75,7.84,1.46,3.68,6.44,38.8,5.54,8,8,3.11,4.26,40.7,NOT REMO,fired,favor,Can't be
$10000 T,1972,80,WORKING,305,48,609,Bookkeep,Verbatim,45,48,NEVER MA,,,,,,607,3,0,55,12,11,6,,HIGH SCH,LT HIGH,LT HIGH,,female,white,CITY GT,E. NOR.,SAME CIT,BELOW AV,2,0,0,0,2,2,3367,3.12,7.91,7.96,3.98,5.01,45.9,4.19,7.6,7.07,3.02,3.62,32.3,remove,fired,favor,CAN TRUS
$15000 T,1972,81,WORKING,615,27,67,Drywall,Verbatim,35,35,married,25,,WORKING,345,45,407,5,5,44,7,4,4,12,LT HIGH,LT HIGH,LT HIGH,HIGH SCH,male,white,farm,E. SOU.,DIFFEREN,,6,0,0,2,4,3,3367,6.64,8,3.16,3.63,4.49,37.7,3.03,8,2.85,4.03,6.95,47.5,,,oppose,CAN TRUS
$15000 T,1972,82,WORKING,391,41,717,Word pro,,37,29,married,22,no,WORKING,415,40,119,2,2,41,12,8,8,12,HIGH SCH,LT HIGH,LT HIGH,HIGH SCH,female,white,CITY GT,E. NOR.,SAME CIT,average,4,0,1,1,2,2,3367,3.72,7.9,7.85,3.05,3.78,37.6,1.17,3.96,5.58,4.15,7.14,44.6,NOT REMO,fired,favor,CAN TRUS
$15000 T,1972,83,WORKING,245,50,709,Fincia,Verbatim,58,83,divorced,28,,,,,,5,0,49,15,,,,HIGH SCH,,,,male,white,TOWN LT,MIDDLE A,DIFFEREN,average,1,0,0,0,1,1,3367,1.97,5.59,7.18,4.37,6.61,48.3,,,,,,,NOT REMO,,oppose,depends
,1972,84,KEEPING,395,36,858,Office c,Verbatim,32,26,married,21,no,WORKING,45,69,527,3,2,28,15,15,12,18,HIGH SCH,HIGH SCH,HIGH SCH,graduate,female,white,50000 TO,foreign,DIFFEREN,average,3,1,0,0,2,1,3367,3.62,7.43,7.89,3.53,3.72,37.6,3.12,7.91,7.96,3.98,5.01,45.9,remove,fired,favor,CAN TRUS
$2000 TO,1972,85,school,,,,,,,,NEVER MA,,,,,,838,6,0,21,14,12,12,,HIGH SCH,HIGH SCH,HIGH SCH,,male,white,CITY GT,foreign,DIFFEREN,average,2,0,0,0,2,0,3367,,,,,,,3.62,7.43,7.89,3.53,3.72,37.6,remove,NOT FIRE,oppose,Can't be
$10000 T,1972,86,WORKING,245,50,738,Uncodeab,,,,married,23,no,WORKING,372,46,917,1,0,26,17,16,14,16,bachelor,bachelor,HIGH SCH,bachelor,male,white,TOWN LT,E. NOR.,DIFFEREN,average,2,0,0,0,2,2,3367,1.21,3.95,7.41,4.94,7.32,60.1,0.41,7.78,2,5.67,7.82,67.9,NOT REMO,NOT FIRE,oppose,CAN TRUS
$6000 TO,1972,87,WORKING,126,78,858,Postseco,Verbatim,74,94,married,17,yes,school,140,78,828,3,0,31,20,20,17,18,graduate,graduate,bachelor,graduate,female,white,50000 TO,pacific,DIFFEREN,FAR ABOV,2,0,0,0,2,1,3367,2,2.29,7.71,5.67,7.72,70.3,1.03,0.62,6.85,5.92,7.93,88.4,NOT REMO,NOT FIRE,favor,Can't be
$4000 TO,1972,88,WORKING,10,67,858,Chemical,Verbatim,71,91,NEVER MA,,,,,,,4,0,28,18,,,,graduate,,,,female,white,CITY GT,foreign,DIFFEREN,average,3,0,0,0,3,1,3367,0.65,7.69,1.96,5.7,7.77,69.7,,,,,,,NOT REMO,NOT FIRE,favor,depends
$6000 TO,1972,89,WORKING,56,56,897,Human re,,47,59,married,23,no,WORKING,202,72,,2,0,26,17,,12,16,bachelor,,HIGH SCH,bachelor,male,white,BIG-CITY,MIDDLE A,DIFFEREN,average,2,0,0,0,2,2,3367,1.42,3.83,8,4.86,6.61,58.3,,,,,,,NOT REMO,NOT FIRE,oppose,CAN TRUS
LT $2000,1972,90,WORKING,925,36,838,"Nursing,",,48,50,NEVER MA,,,,,,139,7,0,20,14,12,14,,HIGH SCH,HIGH SCH,HIGH SCH,,female,black,CITY GT,E. NOR.,SAME CIT,average,2,0,0,0,2,1,3367,6.81,6.91,7.97,3.06,4.02,33.6,6.75,7.88,3.45,2.49,4,28.3,NOT REMO,NOT FIRE,favor,CAN TRUS
$10000 T,1972,91,UNEMPL,580,47,917,Military,Verbatim,48,52,married,22,no,WORKING,144,63,829,3,0,25,16,12,19,16,bachelor,HIGH SCH,graduate,bachelor,male,white,BIG-CITY,W. NOR.,DIFFEREN,ABOVE AV,2,0,0,0,2,2,3367,,,,,,,1.03,0.42,7.62,5.93,7.93,76.7,NOT REMO,NOT FIRE,favor,CAN TRUS
$10000 T,1972,92,WORKING,372,46,937,Secretar,Verbatim,47,55,married,18,no,WORKING,903,16,17,2,2,57,12,8,8,8,HIGH SCH,LT HIGH,LT HIGH,LT HIGH,female,white,farm,NEW ENGL,"SAME ST,",average,3,0,0,0,3,2,4,2.98,6.03,7.98,4,5.98,47.7,1.68,7.97,1.51,3.84,6.62,30.9,NOT REMO,fired,favor,CAN TRUS
$12500 T,1972,93,KEEPING,280,34,617,Retail s,Verbatim,31,18,married,24,no,WORKING,441,45,,4,3,58,13,,11,13,HIGH SCH,,LT HIGH,HIGH SCH,female,white,"COUNTRY,",NEW ENGL,"SAME ST,",average,3,0,0,0,3,2,4,3.53,5.62,7.86,3.4,4.1,37.5,,,,,,,NOT REMO,NOT FIRE,favor,CAN TRUS
$12500 T,1972,94,WORKING,280,34,197,Uncodeab,,,,married,20,no,KEEPING,280,34,907,1,3,54,14,12,12,12,HIGH SCH,HIGH SCH,HIGH SCH,HIGH SCH,male,white,TOWN LT,NEW ENGL,"SAME ST,",average,2,0,0,0,2,1,4,3.53,5.62,7.86,3.4,4.1,37.5,1,5.69,8,4.04,6.94,49,NOT REMO,NOT FIRE,oppose,CAN TRUS
$10000 T,1972,95,KEEPING,75,62,838,Register,Verbatim,64,87,married,22,no,WORKING,1,57,558,2,2,35,16,8,8,16,bachelor,LT HIGH,LT HIGH,bachelor,female,white,50000 TO,foreign,DIFFEREN,average,4,0,2,0,2,1,4,2.88,6.44,7.99,4.19,6.91,53.8,6.87,7.95,3.13,2.94,3.33,29.1,NOT REMO,fired,favor,CAN TRUS
$15000 T,1972,96,WORKING,245,50,219,Fincia,Verbatim,53,65,married,21,no,KEEPING,,,608,3,3,40,14,13,12,15,HIGH SCH,HIGH SCH,HIGH SCH,HIGH SCH,male,white,TOWN LT,NEW ENGL,"SAME ST,",average,5,0,1,2,2,1,4,1.21,3.95,7.41,4.94,7.32,60.1,1.16,5.88,7.85,4.05,6.86,45.9,NOT REMO,fired,oppose,CAN TRUS
$25000 T,1972,97,WORKING,245,50,428,Uncodeab,,,,married,22,no,KEEPING,,,109,0,3,57,15,8,8,12,HIGH SCH,LT HIGH,LT HIGH,HIGH SCH,male,white,TOWN LT,NEW ENGL,"SAME ST,",average,3,0,0,0,3,1,4,1.21,3.95,7.41,4.94,7.32,60.1,6.25,7.55,4.55,2.63,3.93,22.9,remove,fired,oppose,CAN TRUS
$8000 TO,1972,98,KEEPING,,,,,No verba,,,married,23,no,WORKING,144,63,828,7,2,64,16,18,14,16,HIGH SCH,graduate,HIGH SCH,graduate,female,white,TOWN LT,NEW ENGL,"SAME ST,",FAR ABOV,2,0,0,0,2,1,4,,,,,,,1.03,0.62,6.85,5.92,7.93,88.4,NOT REMO,fired,favor,Can't be
$15000 T,1972,99,WORKING,233,50,158,Grounds,Verbatim,37,33,married,19,no,KEEPING,372,46,108,1,2,34,15,8,10,12,HIGH SCH,LT HIGH,LT HIGH,HIGH SCH,male,white,CITY GT,MIDDLE A,DIFFEREN,BELOW AV,4,1,1,0,2,1,4,1.11,1.97,7.97,5,7.7,60.8,5.79,7.85,4.81,2.83,3.62,22.7,NOT REMO,NOT FIRE,favor,CAN TRUS
$10000 T,1972,100,KEEPING,,,,,,,,married,17,no,WORKING,801,41,17,1,2,25,12,10,12,15,HIGH SCH,LT HIGH,HIGH SCH,HIGH SCH,female,white,farm,W. NOR.,SAME CIT,average,4,2,0,0,2,2,0,,,,,,,1.68,7.97,1.51,3.84,6.62,30.9,NOT REMO,fired,oppose,Can't be
$8000 TO,1972,101,WORKING,822,18,17,Miscella,Verbatim,27,18,married,25,no,KEEPING,,,917,5,1,28,9,,12,12,LT HIGH,,HIGH SCH,HIGH SCH,male,white,50000 TO,foreign,DIFFEREN,average,4,1,0,0,3,2,0,6.61,7.97,4.74,2.53,3.75,10.8,,,,,,,NOT REMO,fired,favor,CAN TRUS
$6000 TO,1972,102,WORKING,245,50,679,First-li,Verbatim,38,39,married,25,no,WORKING,280,34,607,2,3,41,13,13,12,12,HIGH SCH,HIGH SCH,HIGH SCH,HIGH SCH,male,white,TOWN LT,W. NOR.,SAME CIT,average,5,0,2,1,2,2,0,1.21,3.95,7.41,4.94,7.32,60.1,1.21,3.95,7.41,4.94,7.32,60.1,NOT REMO,NOT FIRE,oppose,Can't be
$2000 TO,1972,103,KEEPING,916,22,838,Uncodeab,,,,married,19,no,WORKING,284,29,17,1,4,36,12,6,13,12,HIGH SCH,LT HIGH,HIGH SCH,HIGH SCH,female,white,farm,W. NOR.,SAME CIT,average,6,1,2,1,2,1,0,6.66,7.64,6.82,1.76,2.75,13.8,1.68,7.97,1.51,3.84,6.62,30.9,NOT REMO,NOT FIRE,oppose,depends
$20000 T,1972,104,WORKING,801,41,17,"Farmers,",Verbatim,46,58,married,26,no,WORKING,231,50,17,3,1,31,15,8,16,16,HIGH SCH,LT HIGH,graduate,graduate,male,white,farm,W. NOR.,"SAME ST,",BELOW AV,3,1,0,0,2,2,0,1.68,7.97,1.51,3.84,6.62,30.9,1.68,7.97,1.51,3.84,6.62,30.9,remove,fired,favor,CAN TRUS
$15000 T,1972,105,WORKING,801,41,17,"Farmers,",Verbatim,46,58,married,20,yes,WORKING,916,22,17,0,4,45,12,,8,12,HIGH SCH,,LT HIGH,HIGH SCH,male,white,farm,W. NOR.,SAME CIT,average,4,0,1,1,2,2,0,1.68,7.97,1.51,3.84,6.62,30.9,1.68,7.97,1.51,3.84,6.62,30.9,NOT REMO,fired,oppose,Can't be
$2000 TO,1972,106,KEEPING,,,,,No verba,,,married,15,no,WORKING,801,41,,7,EIGHT OR,74,8,,,6,LT HIGH,,,LT HIGH,female,white,farm,W. NOR.,SAME CIT,average,2,0,0,0,2,1,0,,,,,,,,,,,,,remove,fired,favor,Can't be
$6000 TO,1972,107,WORKING,395,36,258,Office c,Verbatim,32,26,divorced,21,,,,,407,6,0,64,12,5,4,,HIGH SCH,LT HIGH,LT HIGH,,female,white,50000 TO,E. NOR.,DIFFEREN,average,1,0,0,0,1,1,88,3.93,7.86,7.67,3.41,3.46,40.6,5.46,6.55,3.93,3,4.88,35.5,NOT REMO,fired,favor,CAN TRUS
$2000 TO,1972,108,WORKING,665,29,207,"Welding,",Verbatim,38,35,NEVER MA,,,,,,67,1,0,23,13,8,12,,HIGH SCH,LT HIGH,HIGH SCH,,female,white,BIG-CITY,pacific,"SAME ST,",ABOVE AV,1,0,0,0,1,1,88,7,8,4,2.46,3.22,30.8,6.69,7.97,3.71,2.9,5.19,33.4,NOT REMO,NOT FIRE,favor,CAN TRUS
$2000 TO,1972,109,UNEMPL,394,36,609,Office c,Verbatim,32,26,divorced,20,,,,,427,1,0,27,16,16,2,,bachelor,bachelor,LT HIGH,,female,white,CITY GT,foreign,DIFFEREN,ABOVE AV,1,0,0,0,1,1,88,4.19,7.65,7.84,3.26,3.27,35.2,3.37,7.58,7.72,3.42,4.22,41.5,NOT REMO,NOT FIRE,favor,Can't be
LT $2000,1972,110,other,644,29,639,Painting,,32,20,divorced,21,,,,,48,4,4,42,13,12,10,,HIGH SCH,HIGH SCH,LT HIGH,,male,white,farm,SOUTH AT,DIFFEREN,BELOW AV,1,0,0,0,1,1,88,6.53,7.91,3.74,2.78,4.74,29.6,1.17,3.96,5.58,4.15,7.14,44.6,NOT REMO,fired,favor,Can't be
$4000 TO,1972,111,WORKING,621,19,247,Grinding,Verbatim,28,19,divorced,29,,,,,17,1,7,47,3,6,,,LT HIGH,LT HIGH,,,male,black,farm,W. SOU.,DIFFEREN,FAR BELO,1,0,0,0,1,1,88,6.43,8,4.36,2.28,3.51,24.2,1.68,7.97,1.51,3.84,6.62,30.9,NOT REMO,NOT FIRE,favor,Can't be
LT $2000,1972,112,UNEMPL,751,17,67,Construc,Verbatim,28,23,NEVER MA,,,,,,,3,0,26,12,,12,,HIGH SCH,,HIGH SCH,,male,black,BIG-CITY,pacific,SAME CIT,BELOW AV,2,0,0,0,2,1,88,6.89,7.98,5.3,2.25,3.32,20.5,,,,,,,NOT REMO,NOT FIRE,favor,Can't be
$2000 TO,1972,113,KEEPING,,,,,,,,married,25,no,"UNEMPL,",534,31,168,7,3,34,10,7,8,7,LT HIGH,LT HIGH,LT HIGH,LT HIGH,female,white,CITY GT,W. NOR.,DIFFEREN,BELOW AV,5,2,1,0,2,1,88,,,,,,,6.43,8,4.36,2.28,3.51,24.2,NOT REMO,fired,favor,Can't be
$8000 TO,1972,114,WORKING,190,56,897,Artists,Verbatim,46,66,married,28,no,TEMP NOT,231,50,248,6,1,52,14,4,8,15,LT HIGH,LT HIGH,LT HIGH,HIGH SCH,male,white,50000 TO,MIDDLE A,DIFFEREN,BELOW AV,2,0,0,0,2,2,88,0.56,7.27,1.45,4.7,7.21,52.5,1.69,5.42,5.87,5.11,7.01,62.7,NOT REMO,fired,favor,CAN TRUS
$10000 T,1972,115,TEMP NOT,75,62,838,Register,Verbatim,64,87,divorced,20,,,,,19,7,3,24,12,11,9,,HIGH SCH,LT HIGH,LT HIGH,,male,white,BIG-CITY,pacific,SAME CIT,average,4,0,0,0,4,2,88,2.88,6.44,7.99,4.19,6.91,53.8,6.35,7.89,5.42,2.26,2.99,15.5,NOT REMO,fired,favor,Can't be
LT $2000,1972,116,KEEPING,933,14,867,Uncodeab,,,,separate,22,,,,,668,1,2,36,14,16,13,,HIGH SCH,bachelor,HIGH SCH,,female,white,CITY GT,pacific,SAME CIT,ABOVE AV,3,0,2,0,1,1,88,6.05,6.79,7.44,2.69,2.92,26.4,1.53,5.58,7.16,4.08,6.82,46.3,NOT REMO,NOT FIRE,favor,CAN TRUS
$2000 TO,1972,117,UNEMPL,680,40,147,"Welding,",,38,35,married,23,no,KEEPING,,,17,7,1,25,8,3,,9,LT HIGH,LT HIGH,,LT HIGH,male,black,farm,E. SOU.,DIFFEREN,average,3,1,0,0,2,1,3367,6.69,7.97,3.71,2.9,5.19,33.4,6.61,7.97,4.74,2.53,3.75,10.8,NOT REMO,NOT FIRE,favor,Can't be
$2000 TO,1972,118,KEEPING,314,36,777,"Hotel, m",Verbatim,30,17,separate,19,,,,,,4,6,46,11,,0,,LT HIGH,,LT HIGH,,female,black,"COUNTRY,",E. SOU.,DIFFEREN,BELOW AV,6,1,1,1,3,0,3367,4.13,6.82,7.64,3.09,3.84,33,,,,,,,NOT REMO,NOT FIRE,favor,depends
$4000 TO,1972,119,KEEPING,,,,,No verba,,,married,15,yes,retired,753,17,17,5,EIGHT OR,54,2,1,,4,LT HIGH,LT HIGH,,LT HIGH,female,black,"COUNTRY,",E. SOU.,DIFFEREN,ABOVE AV,6,0,0,2,4,0,3367,,,,,,,1.68,7.97,1.51,3.84,6.62,30.9,remove,fired,favor,CAN TRUS
$2000 TO,1972,120,KEEPING,,,,,,,,separate,18,,,,,,7,3,27,12,,,,HIGH SCH,,,,female,black,TOWN LT,E. SOU.,DIFFEREN,average,4,1,2,0,1,0,3367,,,,,,,,,,,,,NOT REMO,NOT FIRE,oppose,Can't be
$2000 TO,1972,121,KEEPING,,,,,No verba,,,NEVER MA,,,,,,67,3,2,20,12,12,10,,LT HIGH,HIGH SCH,LT HIGH,,female,black,TOWN LT,W. SOU.,DIFFEREN,average,3,2,0,0,1,0,3367,,,,,,,6.89,7.98,5.3,2.25,3.32,20.5,NOT REMO,NOT FIRE,favor,Can't be
$8000 TO,1972,122,WORKING,86,69,877,Clergy,Verbatim,66,86,married,21,no,KEEPING,982,25,,7,3,53,6,,12,,LT HIGH,,HIGH SCH,,male,black,farm,W. NOR.,DIFFEREN,BELOW AV,3,0,0,0,3,0,3367,1.05,0.06,7.97,5.97,7.96,59.6,,,,,,,NOT REMO,NOT FIRE,favor,Can't be
$4000 TO,1972,123,TEMP NOT,785,17,197,Uncodeab,,,,married,27,no,KEEPING,,,17,7,7,47,3,3,3,11,LT HIGH,LT HIGH,LT HIGH,LT HIGH,male,black,farm,E. SOU.,DIFFEREN,average,11,1,2,2,6,0,3367,7,8,5.09,2.25,3.25,24.4,1.68,7.97,1.51,3.84,6.62,30.9,remove,fired,favor,Can't be
$4000 TO,1972,124,retired,903,16,877,Janitors,Verbatim,24,15,widowed,43,no,,,,17,7,0,70,8,,,,LT HIGH,,,,male,black,farm,E. SOU.,DIFFEREN,BELOW AV,3,0,0,0,3,3,3367,5.79,7.85,4.81,2.83,3.62,22.7,1.68,7.97,1.51,3.84,6.62,30.9,NOT REMO,NOT FIRE,oppose,Can't be
$17500 T,1972,125,KEEPING,694,32,219,Sewing m,Verbatim,32,22,married,22,no,retired,495,35,,7,2,69,8,,3,12,LT HIGH,,LT HIGH,HIGH SCH,female,white,"COUNTRY,",foreign,DIFFEREN,average,4,0,0,0,4,2,179,5.88,7.94,3.83,2.7,4.16,32.3,,,,,,,NOT REMO,fired,favor,Can't be
$12500 T,1972,126,WORKING,372,46,67,Secretar,,47,55,married,19,yes,WORKING,651,29,,1,1,49,12,,,12,LT HIGH,,,LT HIGH,female,white,CITY GT,E. NOR.,SAME CIT,average,2,0,0,0,2,2,179,2.98,6.03,7.98,4,5.98,47.7,2.22,7.97,0.21,3.95,6.97,41.5,remove,NOT FIRE,favor,CAN TRUS
,1972,127,WORKING,142,60,857,Elementa,Verbatim,61,85,married,22,no,WORKING,123,78,227,2,1,29,16,8,8,14,bachelor,LT HIGH,LT HIGH,HIGH SCH,female,white,50000 TO,E. NOR.,DIFFEREN,average,3,1,0,0,2,2,179,1.97,2.03,8,4.99,6.14,63.6,2.12,7.77,1.25,3.96,6.95,43.8,NOT REMO,NOT FIRE,,Can't be
,1972,128,KEEPING,,,,,No verba,,,married,18,no,WORKING,245,50,67,4,3,48,12,,8,14,HIGH SCH,,LT HIGH,HIGH SCH,female,white,CITY GT,E. NOR.,SAME CIT,ABOVE AV,4,0,0,1,3,3,179,,,,,,,3,7.81,1.25,3.91,7.28,43.4,NOT REMO,fired,favor,Can't be
$6000 TO,1972,129,retired,982,25,769,Maids an,Verbatim,25,14,married,28,no,retired,561,42,17,7,0,67,9,8,4,7,LT HIGH,LT HIGH,LT HIGH,LT HIGH,female,white,farm,E. NOR.,"SAME ST,",FAR BELO,2,0,0,0,2,0,179,5.55,6.22,7.81,3.05,3.51,15.8,1.68,7.97,1.51,3.84,6.62,30.9,remove,fired,oppose,Can't be
$12500 T,1972,130,school,656,29,199,"Cutting,",,40,32,divorced,19,,,,,199,0,0,22,12,10,8,,HIGH SCH,LT HIGH,LT HIGH,,male,white,50000 TO,E. NOR.,SAME CIT,average,3,0,0,0,3,1,179,6.22,8,2.52,2.87,4.77,32.2,5.44,8,2.88,2.81,4.44,31.8,NOT REMO,fired,favor,Can't be
$6000 TO,1972,131,retired,631,32,628,First-li,Verbatim,38,39,married,35,no,KEEPING,310,31,17,2,2,75,6,6,0,6,LT HIGH,LT HIGH,LT HIGH,LT HIGH,male,white,farm,foreign,DIFFEREN,FAR BELO,2,0,0,0,2,0,179,6.18,7.67,4.42,3.07,5.9,36.2,1.68,7.97,1.51,3.84,6.62,30.9,remove,fired,oppose,Can't be
$17500 T,1972,132,WORKING,152,56,219,Drafters,Verbatim,47,64,married,20,no,KEEPING,,,219,1,3,38,12,4,1,12,HIGH SCH,LT HIGH,LT HIGH,HIGH SCH,male,white,TOWN LT,E. NOR.,"SAME ST,",average,4,0,0,2,2,1,179,1.83,7.97,1.15,4.83,7.06,50.4,2.09,8,1,3.98,6.98,43,NOT REMO,fired,favor,Can't be
$20000 T,1972,133,WORKING,610,36,219,Inspecto,,39,38,married,24,no,KEEPING,,,219,6,2,46,15,3,4,12,HIGH SCH,LT HIGH,LT HIGH,HIGH SCH,male,white,CITY GT,E. NOR.,"SAME ST,",average,4,0,0,1,3,1,179,4.62,7.93,4.96,2.87,3.95,34.4,2.22,7.97,0.21,3.95,6.97,41.5,NOT REMO,fired,favor,CAN TRUS
$6000 TO,1972,134,KEEPING,,,,,,,,married,20,no,WORKING,903,16,17,4,2,63,8,8,8,8,LT HIGH,LT HIGH,LT HIGH,LT HIGH,female,white,farm,W. SOU.,"SAME ST,",average,2,0,0,0,2,1,26,,,,,,,1.68,7.97,1.51,3.84,6.62,30.9,remove,fired,oppose,CAN TRUS
$10000 T,1972,135,KEEPING,230,39,669,Waiters,Verbatim,31,16,married,17,yes,WORKING,522,41,,0,2,34,11,,12,10,LT HIGH,,HIGH SCH,LT HIGH,female,white,TOWN LT,W. SOU.,"SAME ST,",BELOW AV,3,1,0,0,2,2,26,1.44,5.95,7.74,3.97,5.99,43.7,,,,,,,NOT REMO,fired,favor,CAN TRUS
$10000 T,1972,136,WORKING,481,33,467,Electric,Verbatim,37,35,married,19,no,WORKING,925,36,17,7,6,57,4,,,12,LT HIGH,LT HIGH,LT HIGH,HIGH SCH,male,white,TOWN LT,W. NOR.,DIFFEREN,average,2,0,0,0,2,2,26,2.34,7.94,1.1,3.85,6.81,39.8,1.68,7.97,1.51,3.84,6.62,30.9,remove,fired,oppose,Can't be
$8000 TO,1972,137,WORKING,280,34,999,Uncodeab,,,,NEVER MA,,,,,,68,2,0,22,13,12,9,,HIGH SCH,HIGH SCH,LT HIGH,,female,white,farm,W. NOR.,DIFFEREN,average,1,0,0,0,1,1,26,3.53,5.62,7.86,3.4,4.1,37.5,6.89,7.98,5.3,2.25,3.32,20.5,NOT REMO,fired,favor,Can't be
$6000 TO,1972,138,WORKING,430,49,67,Electric,Verbatim,49,54,married,38,yes,KEEPING,915,20,,0,3,46,8,,8,8,LT HIGH,,LT HIGH,LT HIGH,male,white,farm,W. SOU.,"SAME ST,",BELOW AV,2,0,0,0,2,1,26,2.12,7.77,1.25,3.96,6.95,43.8,,,,,,,NOT REMO,fired,oppose,CAN TRUS
$4000 TO,1972,139,KEEPING,280,34,657,Uncodeab,,,,married,23,no,retired,281,49,657,3,3,73,11,,,10,LT HIGH,LT HIGH,LT HIGH,LT HIGH,female,white,TOWN LT,W. SOU.,"SAME ST,",ABOVE AV,2,0,0,0,2,0,26,3.53,5.62,7.86,3.4,4.1,37.5,1.97,5.59,7.18,4.37,6.61,48.3,remove,fired,favor,CAN TRUS
LT $2000,1972,140,retired,545,35,49,Statio,,47,53,married,35,no,WORKING,984,18,17,6,0,73,12,,,8,HIGH SCH,LT HIGH,LT HIGH,LT HIGH,male,white,farm,W. NOR.,DIFFEREN,BELOW AV,2,0,0,0,2,1,26,5.64,7.8,2.39,3.75,6.27,42.4,1.68,7.97,1.51,3.84,6.62,30.9,NOT REMO,fired,oppose,Can't be
$10000 T,1972,141,WORKING,695,32,377,Chemical,Verbatim,31,22,married,21,yes,KEEPING,,,377,1,3,53,12,4,8,12,HIGH SCH,LT HIGH,LT HIGH,HIGH SCH,male,white,TOWN LT,W. SOU.,SAME CIT,average,3,0,0,1,2,2,26,5.55,8,2.39,3.12,5.67,38.7,5.55,8,2.39,3.12,5.67,38.7,NOT REMO,fired,oppose,Can't be
